State,Abbv,Banks.Failed
Alabama,AL,7
Arkansas,AR,4
Arizona,AZ,16
California,CA,41
Colorado,CO,10
Connecticut,CT,2
Florida,FL,75
Georgia,GA,93
Hawaii,HI,1
Iowa,IA,2
Idaho,ID,2
Illinois,IL,69
Indiana,IN,3
Kansas,KS,10
Kentucky,KY,2
Louisiana,LA,4
Massachusetts,MA,1
Maryland,MD,10
Michigan,MI,14
Minnesota,MN,23
Missouri,MO,16
Mississippi,MS,2
North Carolina,NC,7
Nebraska,NE,3
New Hampshire,NH,1
New Jersey,NJ,7
New Mexico,NM,3
Nevada,NV,12
New York,NY,5
Ohio,OH,8
Oklahoma,OK,7
Oregon,OR,6
Pennsylvania,PA,10
Puerto Rico,PR,4
South Carolina,SC,10
South Dakota,SD,1
Tennessee,TN,7
Texas,TX,12
Utah,UT,8
Virginia,VA,5
Washington ,WA,19
Wisconsin,WI,11
West Virginia,WV,1
Wyoming,WY,1
